"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id","tmax_mean_c","prec_annual","tas_current_october_c","tas_future_october_2050_c","delta_tas_october_c","NDVI"
160,"Tyto alba",44.724468,12.077102,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-1,25,19.1666666666667,411,15.95,16.95,1,0.1895
160,"Tyto alba",45.3691050767,10.2627100354,2025-07-15,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",66,26,18.3333333333334,724,14.55,15.7500000000001,1.20000000000005,0.2785
160,"Tyto alba",45.575518722,12.4557886402,2026-03-17,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-3,27,17.025,687,15.35,16.45,1.10000000000002,0.5049
160,"Tyto alba",44.793593,11.673892,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,28,19.9083333333334,433,15.45,16.45,1,0.3256
160,"Tyto alba",44.513337,11.723943,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",6,29,20.1,392,15.65,16.65,1,0.3115
160,"Tyto alba",44.439883,11.783353,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",11,30,20.1083333333333,396,15.65,16.65,1,0.1828
160,"Tyto alba",44.903023,11.184971,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",7,31,19.375,478,15.15,16.2500000000001,1.10000000000002,0.3837
160,"Tyto alba",45.094038,11.903934,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,32,19.2,503,15.2500000000001,16.35,1.09999999999997,0.4279
160,"Tyto alba",45.963684,13.251594,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",49,33,17.6583333333334,1089,14.05,15.05,1,0.6735
160,"Tyto alba",44.9023333588,7.6598995185,2026-02-23,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",234,34,17.7083333333334,556,13.35,14.65,1.30000000000001,0.2545
160,"Tyto alba",45.365029,12.133663,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,35,17.575,581,15.45,16.65,1.19999999999999,0.5188
160,"Athene noctua",45.6283333333,9.7242116667,2023-06-18,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",195,36,17.2916666666667,956,13.2500000000001,14.45,1.19999999999999,0.5591
160,"Tyto alba",46.032521,13.055588,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",82,37,17.5000000000001,1016,13.65,14.7500000000001,1.10000000000002,0.502
160,"Tyto alba",44.840957,11.30449,2025-03-08,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",12,38,19.6333333333334,455,15.2500000000001,16.2500000000001,1,0.4601
160,"Tyto alba",44.546548,11.838791,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",2,39,20.05,394,15.7500000000001,16.7500000000001,1,0.3733
160,"Tyto alba",44.652214,11.932226,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-3,40,20.0083333333334,401,15.7500000000001,16.7500000000001,1,0.3156
160,"Tyto alba",44.9244598756,12.2357574105,2026-02-20,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,41,17.3166666666667,456,16.45,17.55,1.09999999999997,0.6261
160,"Tyto alba",44.689461,12.116728,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-3,42,18.7666666666667,409,16.15,17.15,1,0.6002
160,"Tyto alba",45.652194,11.499189,2026-01-22,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",68,43,17.5666666666667,785,13.95,15.05,1.09999999999997,0.5638
160,"Tyto alba",44.213537,12.165104,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",16,44,20.5416666666667,433,15.7500000000001,16.85,1.09999999999997,0.4187
160,"Tyto alba",46.060375,13.106326,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",101,45,17.3416666666667,1066,13.45,14.55,1.09999999999997,0.6416
160,"Tyto alba",44.705946,12.180774,2025-01-04,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-3,46,18.1333333333334,414,16.35,17.45,1.10000000000002,0.3256
160,"Tyto alba",45.933998,13.071332,2026-02-20,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",26,47,17.7333333333333,976,14.2500000000001,15.2500000000001,1,0.4346
160,"Tyto alba",44.8518962263,10.6259324402,2026-01-28,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",17,48,19.0583333333334,484,14.7500000000001,15.85,1.09999999999997,0.7358
160,"Tyto alba",45.097166,10.213411,2026-02-27,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",29,49,18.6,638,14.55,15.7500000000001,1.20000000000005,0.5767
160,"Tyto alba",44.753033,12.138835,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-1,50,18.475,417,16.15,17.2500000000001,1.10000000000002,0.5068
160,"Tyto alba",45.6521940606,11.4991888736,2026-01-22,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",68,51,17.5666666666667,785,13.95,15.05,1.09999999999997,0.5638
160,"Tyto alba",44.481983,11.521288,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",33,52,20.075,390,15.45,16.45,1,0.5021
160,"Tyto alba",44.980002,12.216342,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,53,17.4333333333334,472,16.2500000000001,17.35,1.09999999999997,0.5319
160,"Tyto alba",44.9511202356,11.2051819637,2026-04-20,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",6,54,19.2083333333334,500,15.15,16.2500000000001,1.10000000000002,0.254
160,"Tyto alba",44.671572,10.457142,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",116,55,18.5666666666667,512,14.2500000000001,15.35,1.09999999999997,0.6181
160,"Tyto alba",45.575519,12.455789,2026-03-17,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-3,56,17.025,687,15.35,16.45,1.10000000000002,0.5049
160,"Tyto alba",45.446598,10.387455,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",111,57,17.975,741,14.7500000000001,15.95,1.19999999999999,0.6185
160,"Tyto alba",45.124349,11.371423,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",6,58,18.8916666666667,551,14.95,16.05,1.09999999999997,0.4682
160,"Tyto alba",44.751232,10.56021,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",33,59,19.0916666666667,469,14.7500000000001,15.85,1.09999999999997,0.6924
160,"Tyto alba",45.065106,11.978682,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,60,19.175,497,15.35,16.45,1.10000000000002,0.2008
160,"Tyto alba",45.3540030215,10.3776501755,2025-08-13,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",69,61,18.2916666666667,708,14.7500000000001,15.95,1.19999999999999,0.5469
160,"Tyto alba",44.695148,11.227619,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",15,62,19.9166666666667,410,15.35,16.35,1,0.2649
160,"Athene noctua",45.445202,10.579983,2026-03-01,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",85,63,18.1083333333333,709,14.95,16.15,1.19999999999999,0.6916
160,"Tyto alba",46.014311,13.043308,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",72,64,17.5666666666667,1006,13.7500000000001,14.85,1.09999999999997,0.5569
160,"Tyto alba",45.758289,13.360891,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,65,16.9,1040,15.7500000000001,16.7500000000001,1,0.6429
160,"Athene noctua",45.446562,9.489822,2026-03-20,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",89,66,18.25,838,13.85,15.05,1.19999999999999,0.795
160,"Tyto alba",45.436327874,10.2057079627,2026-03-21,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",90,67,18.15,752,14.55,15.7500000000001,1.20000000000005,0.4858
160,"Tyto alba",41.467235,13.030443,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",5,68,20.875,1138,17.65,18.55,0.899999999999977,0.5952
160,"Tyto alba",44.575679,12.248312,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-1,69,17.9333333333334,411,16.45,17.55,1.09999999999997,0.4909
